iter	Passed	Remaining
0	3	330
1	7	353
2	10	337
3	13	333
4	17	330
5	20	324
6	23	318
7	27	313
8	31	319
9	34	314
10	37	306
11	41	301
12	45	306
13	48	299
14	51	293
15	54	287
16	58	287
17	62	282
18	65	278
19	68	275
20	72	271
21	75	268
22	78	264
23	83	263
24	86	260
25	89	255
26	92	250
27	96	248
28	99	244
29	103	240
30	105	235
31	110	234
32	113	230
33	116	226
34	120	222
35	123	218
36	126	215
37	129	210
38	132	206
39	135	203
40	138	199
41	141	195
42	144	191
43	148	188
44	151	184
45	154	180
46	156	176
47	160	173
48	163	169
49	166	166
50	168	162
51	172	159
52	175	155
53	178	152
54	181	148
55	185	146
56	188	142
57	192	139
58	195	135
59	198	132
60	201	129
61	205	125
62	208	122
63	212	119
64	215	115
65	217	112
66	221	109
67	225	106
68	228	102
69	231	99
70	235	96
71	238	92
72	241	89
73	245	86
74	248	82
75	252	79
76	255	76
77	258	72
78	261	69
79	265	66
80	268	62
81	271	59
82	274	56
83	277	52
84	281	49
85	284	46
86	287	42
87	290	39
88	293	36
89	298	33
90	300	29
91	304	26
92	307	23
93	311	19
94	314	16
95	317	13
96	320	9
97	324	6
98	328	3
99	331	0
